iter	Passed	Remaining
0	1	143
1	2	136
2	4	134
3	5	125
4	6	125
5	7	122
6	9	121
7	10	119
8	11	118
9	13	117
10	14	116
11	15	114
12	16	113
13	18	113
14	19	112
15	21	111
16	22	110
17	23	108
18	25	106
19	26	104
20	27	103
21	28	101
22	30	100
23	31	99
24	32	97
25	33	96
26	35	95
27	36	93
28	37	92
29	39	91
30	40	90
31	41	88
32	43	87
33	44	86
34	45	84
35	46	83
36	48	82
37	49	80
38	50	79
39	51	77
40	53	76
41	53	74
42	54	72
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
